Filename: data/3568
Watch info at: http://watchotaku.com/display/~pfh/IWC+Aquatimer+2000
Focal length: 15.000000 cm
Copyright Paul Hubbard (phubbard@watchotaku.com) 2010
License: http://creativecommons.org/licenses/by/3.0/us/
See http://watchotaku.com/display/swr/Measure+luminosity
Timestamp: 2010-08-23 07:15:40.024243
UTC timestamp: 2010-08-23 14:15:40.024269

Time(seconds)	Lux
0.006908	0.162138
5.014592	0.073408
10.007643	0.051970
15.016730	0.040330
20.008440	0.033133
25.017368	0.026891
30.009228	0.024688
40.010340	0.019648
40.202241	0.019571
45.019141	0.017864
50.011729	0.016382
55.020220	0.014857
60.011951	0.014047
65.020922	0.012725
70.012846	0.012350
75.020721	0.011593
80.013636	0.010922
85.006707	0.009842
90.014598	0.009832
95.007729	0.009123
100.015376	0.008921
105.008325	0.008521
110.016331	0.008201
115.009210	0.007675
120.017151	0.007533
125.010013	0.006939
130.019536	0.007007
135.010971	0.006746
140.019935	0.006504
145.012748	0.005968
150.020757	0.006090
155.013806	0.005827
160.005629	0.005713
165.014503	0.005540
170.006491	0.005382
175.015343	0.005124
180.007357	0.005095
185.016407	0.004846
190.008362	0.004940
195.017145	0.004726
200.009121	0.004605
205.017995	0.004260
215.018894	0.004265
220.011583	0.004177
225.020514	0.004080
230.012640	0.003989
235.020677	0.003823
240.013525	0.003826
245.005496	0.003715
250.014461	0.003663
255.006431	0.003605
260.015247	0.003535
265.007244	0.003288
270.016243	0.003414
275.008080	0.003349
280.017084	0.003279
285.009026	0.003226
290.017978	0.003166
295.009872	0.003056
300.018792	0.003073
305.011545	0.003021
310.019710	0.002936
315.012528	0.002937
320.005366	0.002895
325.013545	0.002710
330.006391	0.002817
335.014328	0.002773
340.007225	0.002675
345.016213	0.002685
350.008086	0.002641
355.017095	0.002561
360.008962	0.002580
365.017924	0.002547
370.009843	0.002432
375.018866	0.002479
380.010784	0.002447
385.018752	0.002299
390.011632	0.002389
395.020568	0.002356
400.012572	0.002268
405.020444	0.002287
410.013344	0.002257
415.005208	0.002187
420.014212	0.002204
425.006946	0.002181
430.016121	0.002085
435.008885	0.002126
440.016982	0.002103
445.009865	0.001981
450.017895	0.002060
455.010686	0.002033
460.018663	0.001989
465.011586	0.001977
470.019538	0.001953
475.012582	0.001895
480.020367	0.001912
485.013447	0.001896
490.005257	0.001846
495.014359	0.001849
500.006245	0.001837
505.014972	0.001729
510.007002	0.001803
515.016194	0.001780
520.007861	0.001755
525.017750	0.001734
530.009694	0.001714
535.017733	0.001666
540.010582	0.001683
545.018591	0.001671
550.011422	0.001648
555.019343	0.001625
560.012357	0.001624
565.021263	0.001539
570.013140	0.001600
575.006183	0.001583
580.014140	0.001565
585.006944	0.001545
590.014941	0.001544
595.007790	0.001505
600.015764	0.001522
605.008784	0.001517
610.017321	0.001505
615.009659	0.001466
620.018602	0.001486
625.010515	0.001412
630.019484	0.001467
635.011407	0.001456
640.020278	0.001441
645.012184	0.001409
650.005236	0.001415
655.014204	0.001380
660.007127	0.001396
665.015027	0.001391
670.007957	0.001382
675.015808	0.001323
680.008866	0.001362
685.016771	0.001299
690.019627	0.001348
695.011541	0.001335
700.020373	0.001322
705.012380	0.001286
710.021431	0.001299
715.014219	0.001269
720.006133	0.001286
725.015304	0.001281
730.007073	0.001275
735.016068	0.001217
740.007953	0.001259
745.016893	0.001200
750.008735	0.001250
755.017782	0.001239
760.009625	0.001227
765.018722	0.001201
770.010494	0.001208
775.019581	0.001180
780.012504	0.001196
785.020448	0.001193
790.013341	0.001188
795.005308	0.001155
800.014243	0.001173
805.006051	0.001120
810.015029	0.001167
815.007130	0.001154
820.016007	0.001144
825.007823	0.001131
830.016895	0.001125
835.008847	0.001100
840.017779	0.001126
845.009589	0.001122
850.018608	0.001116
855.011503	0.001100
860.019528	0.001101
865.012462	0.001058
870.020460	0.001101
875.013319	0.001091
880.005185	0.001084
885.014191	0.001074
890.006190	0.001067
895.014922	0.001047
900.007966	0.001053
905.015964	0.001060
910.008862	0.001055
915.016843	0.001049
920.009726	0.001035
925.017720	0.001005
930.010659	0.001048
935.018493	0.001042
940.011443	0.001033
945.019469	0.001027
950.012290	0.001013
955.021276	0.001001
960.013293	0.001015
965.006170	0.001014
970.014172	0.001011
975.006011	0.001004
980.015098	0.000974
985.006859	0.000963
990.015971	0.000999
995.007811	0.000991
1000.016727	0.000984
