Filename: data/5517.txt
Focal length: 15.000000 cm
Copyright Paul Hubbard (phubbard@watchotaku.com) 2010
License: http://creativecommons.org/licenses/by/3.0/us/
See http://watchotaku.com/display/swr/Measure+luminosity
Timestamp: 2010-09-06 11:09:19.917379
UTC timestamp: 2010-09-06 18:09:19.917394

Time(seconds)	Lux
0.007641	0.005336
5.016964	0.003187
10.010170	0.002427
15.019289	0.002051
20.012403	0.001844
25.021544	0.001676
30.014696	0.001536
35.007795	0.001441
40.016964	0.001367
45.009970	0.001311
50.019225	0.001258
55.012347	0.001220
60.021438	0.001196
65.014588	0.001166
70.006700	0.001143
75.015792	0.001120
80.008912	0.001102
85.018106	0.001086
90.011423	0.001071
95.020223	0.001059
100.013506	0.001048
105.006625	0.001039
110.015760	0.001032
115.008792	0.001024
120.017999	0.001018
125.011032	0.001012
130.020227	0.001008
135.013305	0.001002
140.006483	0.000977
145.015686	0.000993
150.008810	0.000992
155.017955	0.000990
160.010974	0.000987
165.020237	0.000983
170.013239	0.000981
175.006454	0.000978
180.015603	0.000975
185.008720	0.000971
190.017830	0.000968
195.010981	0.000963
200.020008	0.000959
205.013240	0.000955
210.006383	0.000950
215.015508	0.000945
220.008552	0.000941
225.017773	0.000937
230.010900	0.000932
235.020026	0.000928
240.013134	0.000926
245.006259	0.000922
250.015239	0.000920
255.008562	0.000917
260.017648	0.000916
265.010811	0.000915
270.019880	0.000914
275.013075	0.000914
280.022186	0.000915
285.015323	0.000915
290.008463	0.000916
295.017600	0.000918
300.009603	0.000919
305.018846	0.000919
310.011984	0.000921
315.021040	0.000923
320.014062	0.000925
325.007288	0.000926
330.016450	0.000929
335.009499	0.000931
340.017721	0.000934
345.010839	0.000935
350.020009	0.000937
355.013102	0.000939
360.006161	0.000942
365.015303	0.000944
370.007532	0.000947
375.016662	0.000950
380.009752	0.000951
385.018845	0.000953
390.010842	0.000953
395.020047	0.000953
400.013305	0.000952
405.006454	0.000952
410.015552	0.000950
415.008611	0.000949
420.016880	0.000946
425.009848	0.000943
430.019022	0.000941
435.012212	0.000940
440.021238	0.000938
445.014450	0.000936
450.006618	0.000935
455.015749	0.000933
460.008848	0.000934
465.017858	0.000933
470.011099	0.000933
475.019274	0.000932
480.012314	0.000931
485.021386	0.000931
490.014681	0.000929
495.007824	0.000928
500.015889	0.000928
505.009080	0.000926
510.018186	0.000928
515.011337	0.000927
520.020453	0.000928
525.013510	0.000931
530.005619	0.000936
535.014634	0.000942
540.007962	0.000949
545.017706	0.000952
550.010173	0.000944
555.018370	0.000938
560.011345	0.000936
565.020587	0.000933
570.013713	0.000931
575.005849	0.000931
580.015044	0.000932
585.008101	0.000932
590.017245	0.000932
595.010421	0.000933
600.019544	0.000935
605.011616	0.000937
610.020847	0.000935
615.013785	0.000932
620.019129	0.000931
625.011319	0.000930
630.020546	0.000930
635.013675	0.000931
640.006848	0.000930
645.015883	0.000929
650.008158	0.000926
655.017298	0.000926
660.010358	0.000921
665.019570	0.000918
670.012717	0.000915
675.021730	0.000913
680.013942	0.000911
685.007015	0.000910
690.016191	0.000908
695.009431	0.000907
700.018537	0.000909
705.010661	0.000906
710.019837	0.000907
715.012803	0.000907
720.006068	0.000908
725.015196	0.000911
730.008326	0.000913
735.016522	0.000919
740.009555	0.000925
745.018751	0.000931
750.011807	0.000936
755.020890	0.000938
760.013014	0.000943
765.006148	0.000954
770.015401	0.000987
775.008500	0.000953
780.017603	0.000949
785.009493	0.000950
790.018822	0.000948
795.012010	0.000948
800.021075	0.000947
805.014267	0.000944
810.006325	0.000943
815.015481	0.000941
820.008605	0.000938
825.017774	0.000935
830.010755	0.000935
835.019975	0.000932
840.012143	0.000931
845.004978	0.000928
850.014392	0.000928
855.007391	0.000927
860.016664	0.000924
865.009693	0.000922
870.017953	0.000920
875.011008	0.000917
880.020153	0.000917
885.013104	0.000914
890.006232	0.000913
895.014485	0.000912
900.007421	0.000910
905.016802	0.000911
910.009761	0.000910
915.018841	0.000909
920.012038	0.000909
925.020187	0.000909
930.013395	0.000906
935.006276	0.000906
940.015523	0.000905
945.008525	0.000904
950.017819	0.000903
955.009879	0.000901
