Filename: data/alpha-gmt.txt
Watch info at: http://watchotaku.com/display/~pfh/Alpha+Explorer+GMT
Focal length: 15.000000 cm
Copyright Paul Hubbard (phubbard@watchotaku.com) 2010
License: http://creativecommons.org/licenses/by/3.0/us/
See http://watchotaku.com/display/swr/Measure+luminosity
Timestamp: 2010-07-27 18:03:51.029181
UTC timestamp: 2010-07-28 01:03:51.029195

Time(seconds)	Lux
0.016670	0.004914
5.007492	0.003926
10.014202	0.003246
15.004824	0.002784
20.011711	0.002436
25.017440	0.002165
30.008003	0.001947
35.014955	0.001769
40.005536	0.001620
45.012417	0.001495
50.019124	0.001388
55.009878	0.001296
60.016601	0.001215
65.006370	0.001147
70.013097	0.001084
75.003714	0.001025
80.010606	0.000971
85.017285	0.000925
90.008079	0.000884
95.014764	0.000848
100.005543	0.000817
105.012207	0.000792
110.019000	0.000764
115.008720	0.000738
120.015422	0.000697
125.006119	0.000668
130.012989	0.000650
135.019738	0.000637
140.010418	0.000612
145.017785	0.000580
150.007949	0.000559
155.014679	0.000541
160.005413	0.000525
165.011158	0.000511
170.017883	0.000496
175.008594	0.000482
180.015383	0.000470
185.006109	0.000458
190.012850	0.000447
195.019541	0.000436
200.010334	0.000427
205.016070	0.000416
210.006691	0.000408
215.013504	0.000399
220.004295	0.000390
225.010993	0.000383
230.017775	0.000375
235.008513	0.000368
240.015302	0.000362
245.004986	0.000356
250.011730	0.000348
255.018415	0.000343
260.009170	0.000337
265.015853	0.000332
270.006691	0.000327
275.013390	0.000325
280.004062	0.000323
285.009901	0.000322
290.016651	0.000322
295.007254	0.000321
300.014037	0.000316
305.004699	0.000309
310.011572	0.000304
315.018314	0.000298
320.009095	0.000292
325.014791	0.000285
330.005529	0.000282
335.012278	0.000277
340.018997	0.000276
345.009796	0.000269
350.016486	0.000258
355.007263	0.000252
360.013919	0.000246
365.003738	0.000244
370.010449	0.000239
375.017241	0.000237
380.007948	0.000234
385.014657	0.000231
390.005440	0.000229
395.012192	0.000227
400.018906	0.000223
405.009660	0.000221
410.015410	0.000218
415.006046	0.000216
420.012862	0.000215
425.003490	0.000215
430.010332	0.000216
435.016974	0.000213
440.007845	0.000207
445.014465	0.000202
450.004332	0.000200
455.011030	0.000197
460.017756	0.000194
465.008546	0.000192
470.015269	0.000190
475.006031	0.000188
480.012766	0.000185
485.019420	0.000183
490.010254	0.000181
495.016001	0.000179
500.006728	0.000177
505.013475	0.000175
510.004218	0.000173
515.010960	0.000172
520.017629	0.000170
525.008399	0.000168
530.015136	0.000167
535.004907	0.000164
540.011659	0.000164
545.018381	0.000162
550.009099	0.000161
555.015809	0.000159
560.006472	0.000158
565.013270	0.000156
570.003990	0.000157
575.010734	0.000154
580.017546	0.000153
585.007187	0.000152
590.013965	0.000151
595.004802	0.000149
600.011512	0.000148
605.018180	0.000148
610.009024	0.000146
615.015669	0.000146
620.006365	0.000144
625.013206	0.000143
630.003791	0.000144
635.009685	0.000140
640.016474	0.000139
645.007185	0.000138
650.013948	0.000137
655.004562	0.000136
660.011340	0.000136
665.018137	0.000134
670.007731	0.000133
675.014853	0.000132
680.005328	0.000132
685.012012	0.000131
690.018757	0.000130
695.009584	0.000129
700.016326	0.000128
705.006947	0.000127
710.013804	0.000127
715.004457	0.000126
720.010318	0.000124
725.017024	0.000125
730.007813	0.000124
735.014451	0.000123
740.005156	0.000122
745.012026	0.000121
750.018745	0.000121
755.009513	0.000120
760.016142	0.000120
765.005991	0.000119
770.012693	0.000118
775.003318	0.000117
780.010157	0.000116
785.016910	0.000116
790.007694	0.000116
795.014391	0.000114
800.004172	0.000115
805.010916	0.000114
810.017654	0.000113
815.008377	0.000113
820.015146	0.000112
825.005885	0.000112
830.012624	0.000111
835.018385	0.000111
840.009006	0.000111
845.015744	0.000111
850.006587	0.000110
855.013330	0.000111
860.003859	0.000109
865.010708	0.000109
870.017555	0.000109
875.007263	0.000109
880.014043	0.000108
885.004620	0.000108
890.011478	0.000110
895.018233	0.000114
900.008959	0.000119
905.015746	0.000125
910.006467	0.000135
915.013220	0.000141
920.002809	0.000141
925.009699	0.000142
930.016444	0.000141
935.007186	0.000143
940.013859	0.000142
945.004574	0.000143
950.011409	0.000141
955.018143	0.000141
960.007855	0.000141
965.014631	0.000141
970.005238	0.000140
975.012117	0.000140
980.018843	0.000141
985.009599	0.000140
990.016350	0.000139
995.007085	0.000139
1000.013779	0.000141
1005.003433	0.000138
1010.010273	0.000138
1015.017015	0.000137
1020.007682	0.000137
1025.014537	0.000137
1030.005261	0.000136
