Filename: data/cobaltv.txt
Focal length: 15.000000 cm
Copyright Paul Hubbard (phubbard@watchotaku.com) 2010
License: http://creativecommons.org/licenses/by/3.0/us/
See http://watchotaku.com/display/swr/Measure+luminosity
Timestamp: 2010-09-01 07:35:06.135191
UTC timestamp: 2010-09-01 14:35:06.135207

Time(seconds)	Lux
0.007883	0.005138
5.014884	0.004644
10.004549	0.004211
15.011662	0.003851
20.019360	0.003500
25.010186	0.003130
30.016168	0.003062
35.007094	0.002865
40.013961	0.002714
45.004761	0.002558
50.011737	0.002442
55.017613	0.002294
60.008370	0.002206
65.015462	0.002116
70.005090	0.002022
75.012063	0.001943
80.018963	0.001834
85.029893	0.001751
90.015686	0.001716
95.006823	0.001651
100.013444	0.001601
105.004198	0.001527
110.010150	0.001480
115.072260	0.001418
120.008675	0.001373
125.015741	0.001330
130.006509	0.001272
135.013396	0.001257
140.004109	0.001202
145.010992	0.001169
150.017938	0.001143
155.009003	0.001111
160.015718	0.001092
165.006603	0.001067
170.012481	0.001047
175.003491	0.001023
180.010362	0.000989
185.017101	0.000972
190.007854	0.000948
195.013832	0.000929
200.004654	0.000892
205.011587	0.000875
210.018438	0.000863
215.009414	0.000846
220.015298	0.000837
225.006098	0.000808
230.012939	0.000788
235.003658	0.000778
240.009652	0.000749
245.016589	0.000742
250.007423	0.000741
255.014329	0.000729
260.005249	0.000707
265.011989	0.000696
270.017835	0.000685
275.008748	0.000684
280.015754	0.000682
285.006594	0.000677
290.012441	0.000677
295.003238	0.000677
300.010205	0.000663
305.017073	0.000666
310.006924	0.000645
315.013753	0.000602
320.004463	0.000584
325.011569	0.000576
330.018458	0.000557
335.008322	0.000569
340.015168	0.000563
345.005971	0.000565
350.012790	0.000583
355.003553	0.000584
360.010587	0.000576
365.016444	0.000567
370.007358	0.000573
375.014193	0.000582
380.005101	0.000556
385.010973	0.000529
390.017837	0.000521
395.008628	0.000504
400.015611	0.000509
405.005426	0.000509
410.012328	0.000502
415.019172	0.000498
420.010087	0.000487
425.016933	0.000489
430.006720	0.000487
435.013658	0.000483
440.004551	0.000475
445.011418	0.000476
450.017289	0.000466
455.008127	0.000437
460.015050	0.000450
465.005924	0.000444
470.012742	0.000436
475.018632	0.000428
480.009382	0.000424
485.018341	0.000470
490.006994	0.000506
495.014150	0.000509
500.004935	0.000430
505.011874	0.000494
510.018626	0.000434
515.009356	0.000425
520.016578	0.000403
525.007353	0.000396
530.014195	0.000426
535.004097	0.000431
540.010939	0.000397
545.017803	0.000379
550.008852	0.000389
555.015512	0.000397
560.006424	0.000397
565.013313	0.000392
570.004054	0.000377
575.010075	0.000353
580.016910	0.000376
585.007827	0.000371
590.014647	0.000371
595.004452	0.000366
600.011406	0.000325
605.018289	0.000334
610.009185	0.000347
615.015998	0.000337
620.005868	0.000324
625.012823	0.000321
630.003655	0.000323
635.010556	0.000315
640.016427	0.000327
645.007172	0.000331
650.014105	0.000321
655.004906	0.000323
660.011878	0.000308
665.017720	0.000289
670.008638	0.000287
675.015524	0.000285
680.006272	0.000279
685.012263	0.000277
690.019078	0.000277
695.009942	0.000274
700.016871	0.000276
705.007718	0.000293
715.004420	0.000286
720.011364	0.000273
725.018210	0.000271
730.008124	0.000266
735.014858	0.000262
740.005762	0.000255
745.012760	0.000253
750.018584	0.000251
755.009465	0.000251
760.016353	0.000250
765.007112	0.000249
770.013051	0.000248
775.003954	0.000247
780.010812	0.000241
785.017675	0.000245
790.008578	0.000245
795.014454	0.000263
800.005287	0.000264
805.012213	0.000265
810.019053	0.000253
815.008946	0.000257
820.015758	0.000291
825.006712	0.000313
830.013475	0.000308
835.019206	0.000304
840.010327	0.000280
845.016969	0.000280
850.008029	0.000276
855.014845	0.000282
860.004796	0.000298
865.011634	0.000349
870.018426	0.000348
875.009309	0.000303
880.015300	0.000282
885.006166	0.000278
890.013009	0.000277
895.003938	0.000277
900.010809	0.000271
