Filename: data/cvz2j.txt
Watch info at: http://watchotaku.com/display/~pfh/Orient+analog-digital
Focal length: 15.000000 cm
Copyright Paul Hubbard (phubbard@watchotaku.com) 2010
License: http://creativecommons.org/licenses/by/3.0/us/
See http://watchotaku.com/display/swr/Measure+luminosity
Timestamp: 2010-09-06 12:25:18.802696
UTC timestamp: 2010-09-06 19:25:18.802710

Time(seconds)	Lux
0.005561	0.026917
5.014978	0.014434
10.008095	0.010733
15.017182	0.008638
20.010344	0.007309
25.019416	0.006410
30.012602	0.005734
35.005744	0.005283
40.014784	0.004768
45.008001	0.004377
50.017153	0.004064
55.010254	0.003857
60.019365	0.003621
65.012532	0.003462
70.005665	0.003464
75.014817	0.003280
80.007928	0.003176
85.017037	0.003396
90.010175	0.003339
95.019319	0.003242
100.012436	0.003168
105.005466	0.003157
110.014709	0.003092
115.007819	0.002884
120.016969	0.002846
125.010086	0.002865
130.019237	0.002635
135.012359	0.002688
140.005412	0.002765
145.014589	0.002696
150.007620	0.002517
155.016786	0.002626
160.009792	0.002695
165.019166	0.002513
170.012189	0.002504
175.021394	0.002383
180.014575	0.002277
185.007683	0.002172
190.017730	0.002131
195.009920	0.002283
200.019018	0.002381
205.012225	0.002437
210.005086	0.002420
215.014334	0.002409
220.007332	0.002406
225.016748	0.002401
230.009682	0.002387
235.018979	0.002373
240.011989	0.002351
245.021109	0.002334
250.014399	0.002325
255.007516	0.002309
260.016590	0.002293
265.009797	0.002277
270.018901	0.002261
275.012058	0.002240
280.021189	0.002234
285.014329	0.002227
290.007448	0.002211
295.016561	0.002203
300.009660	0.002185
305.018727	0.002173
310.011919	0.002149
315.021086	0.002145
320.014249	0.002144
325.007339	0.002143
330.015451	0.002143
335.008603	0.002145
340.017735	0.002148
345.010936	0.002136
350.020033	0.002125
355.013164	0.002121
360.021268	0.002111
365.014257	0.002102
370.007561	0.002093
375.017004	0.002085
380.009791	0.002080
385.018890	0.002077
390.011147	0.002079
395.020199	0.002079
400.013205	0.002077
405.006355	0.002070
410.015541	0.002059
415.008597	0.002060
420.016806	0.002029
425.009956	0.002032
430.019149	0.002046
435.012174	0.002051
440.021364	0.002040
445.014454	0.002024
450.006662	0.002022
455.015868	0.002021
460.008892	0.002018
465.018035	0.002016
470.011174	0.001998
475.020261	0.002005
480.013408	0.002004
485.005615	0.002000
490.014546	0.001991
495.007820	0.001978
500.016843	0.001911
505.010018	0.001882
510.019172	0.001906
515.011253	0.001929
520.020506	0.001927
525.013482	0.001944
530.006581	0.001949
535.015904	0.001800
540.007970	0.001919
545.017128	0.001912
550.010212	0.001833
555.019405	0.001899
560.012422	0.001902
565.021693	0.001911
570.013754	0.001923
575.006951	0.001919
580.016023	0.001879
585.009110	0.001883
590.019352	0.001908
595.011460	0.001910
600.019534	0.001909
605.012718	0.001894
610.005756	0.001872
615.014981	0.001869
620.007990	0.001867
625.017200	0.001879
630.010354	0.001906
635.019471	0.001890
640.011641	0.001899
645.020658	0.001878
650.013858	0.001874
655.006905	0.001873
660.016158	0.001873
665.009327	0.001865
670.017406	0.001865
675.010464	0.001769
680.019871	0.001858
685.012819	0.001844
690.005716	0.001851
695.014874	0.001844
700.008066	0.001847
705.016353	0.001849
710.009391	0.001844
715.018654	0.001841
720.011760	0.001842
725.020775	0.001838
730.014077	0.001837
735.007145	0.001832
740.015286	0.001830
745.008318	0.001831
750.017424	0.001828
755.011048	0.001824
760.019774	0.001821
765.012909	0.001816
770.005920	0.001816
775.014188	0.001814
780.007245	0.001811
785.016340	0.001807
790.009624	0.001808
795.018703	0.001808
800.011868	0.001808
805.020017	0.001804
810.008521	0.001804
815.017651	0.001801
820.010797	0.001789
825.022081	0.001792
830.012072	0.001793
835.021199	0.001791
840.014267	0.001790
845.007272	0.001783
850.016601	0.001778
855.009700	0.001778
860.017875	0.001779
865.011057	0.001781
870.020296	0.001787
875.013191	0.001785
880.006442	0.001786
885.015655	0.001789
890.008686	0.001788
895.016866	0.001789
900.009975	0.001785
905.019078	0.001786
910.012258	0.001789
915.021430	0.001789
920.013486	0.001788
925.006772	0.001784
930.015821	0.001789
935.008982	0.001793
940.018229	0.001617
945.011388	0.001474
950.019309	0.001447
955.012603	0.001491
960.005671	0.001517
965.014725	0.001395
970.007946	0.001396
975.016964	0.001450
980.010140	0.001601
985.018349	0.001754
990.011450	0.001770
995.020587	0.001754
1000.013762	0.001747
1005.006779	0.001766
1010.015992	0.001739
1015.008054	0.001788
1020.017264	0.001773
1025.010367	0.001615
1030.019521	0.001716
1035.012773	0.001584
1040.021848	0.001667
1045.013943	0.001746
1050.007044	0.001773
1055.016297	0.001782
1060.009367	0.001789
1065.018525	0.001769
1070.011663	0.001725
1075.020740	0.001746
1080.012883	0.001729
1085.005983	0.001698
1090.015460	0.001729
1095.008357	0.001716
1100.017447	0.001574
1105.010535	0.001698
1110.019592	0.001536
1115.011926	0.001763
1120.020890	0.001765
1125.014008	0.001762
1130.007098	0.001756
1135.016392	0.001752
1140.009585	0.001753
1145.018735	0.001748
1150.010740	0.001747
1155.019810	0.001743
1160.013074	0.001731
1165.006167	0.001745
1170.015414	0.001750
1175.008410	0.001530
1180.016663	0.001577
1185.009691	0.001514
1190.018820	0.001581
1195.012128	0.001711
1200.021179	0.001599
1205.014385	0.001404
1210.007492	0.001325
1215.015568	0.001283
1220.008578	0.001276
1225.017766	0.001262
1230.010906	0.001337
1235.020041	0.001456
1240.013212	0.001581
1245.005368	0.001676
1250.014468	0.001519
1255.007764	0.001710
1260.016849	0.001698
1265.009935	0.001730
1270.019121	0.001729
1275.012174	0.001712
1280.020395	0.001718
1285.013524	0.001728
1290.006654	0.001740
1295.015803	0.001738
1300.008723	0.001735
1305.017168	0.001729
1310.010148	0.001728
1315.019283	0.001731
1320.012493	0.001731
1325.005509	0.001729
1330.014703	0.001726
1335.007778	0.001727
1340.017011	0.001728
1345.009113	0.001719
1350.018204	0.001700
1355.012323	0.001705
1360.020439	0.001716
1365.013790	0.001711
1370.006748	0.001673
1375.014855	0.001577
1380.008137	0.001482
1385.017257	0.001436
1390.010401	0.001548
1395.019539	0.001723
1400.012684	0.001685
1405.020654	0.001689
1410.013937	0.001698
1415.006947	0.001690
1420.016189	0.001715
1425.009304	0.001717
1430.018350	0.001712
1435.010609	0.001497
1440.019713	0.001705
1445.012874	0.001684
1450.005890	0.001651
1455.015009	0.001405
1460.008069	0.001443
1465.016252	0.001417
1470.009397	0.001385
1475.018707	0.001460
1480.011741	0.001562
1485.021008	0.001676
1490.013836	0.001689
1495.007069	0.001674
1500.015150	0.001578
1505.008436	0.001534
1510.017502	0.001640
1515.010664	0.001674
1520.019839	0.001628
1525.012955	0.001663
1530.021067	0.001693
1535.014222	0.001697
1540.007146	0.001677
1545.016363	0.001699
1550.009577	0.001486
1555.018755	0.001497
1560.011891	0.001477
1565.019936	0.001476
1570.012970	0.001465
1575.006086	0.001468
1580.015289	0.001476
1585.008435	0.001485
1590.017640	0.001634
1595.009703	0.001631
1600.018905	0.001621
1605.011937	0.001625
1610.021169	0.001632
1615.014117	0.001462
