Filename: data/mm300-long-uv.txt
Watch info at: http://watchotaku.com/display/~pfh/Seiko+SBDX001+%27Marinemaster%27
Copyright Paul Hubbard (phubbard@watchotaku.com) 2010
License: http://creativecommons.org/licenses/by/3.0/us/
See http://watchotaku.com/display/swr/Measure+luminosity
Timestamp: 2010-06-30 19:56:34.967161
UTC timestamp: 2010-07-01 02:56:34.967175

Time(seconds)	Lux
5.013614	0.129118
10.004230	0.082788
15.010037	0.057865
20.016585	0.045908
25.007394	0.038170
30.013987	0.032698
35.003777	0.028635
40.010472	0.025478
45.017109	0.022953
50.007823	0.020884
55.014476	0.019162
60.004095	0.017700
65.010893	0.016400
70.017565	0.015313
75.012486	0.014363
80.013953	0.013522
85.004539	0.012775
90.011332	0.012101
95.017997	0.011492
100.008726	0.010956
105.015440	0.010443
110.005105	0.009996
115.011552	0.009569
120.018386	0.009194
125.009140	0.008826
130.015851	0.008506
135.006457	0.008200
140.012205	0.007909
145.018836	0.007643
150.009610	0.007391
155.016321	0.007157
160.005924	0.006934
165.012449	0.006728
170.019386	0.006530
175.010079	0.006347
180.016798	0.006170
185.007427	0.006003
190.013179	0.005839
195.003785	0.005690
200.010477	0.005546
205.017244	0.005410
210.006770	0.005281
215.013625	0.005159
220.004191	0.005039
225.011015	0.004925
230.016637	0.004817
235.007270	0.004715
240.014081	0.004614
245.004764	0.004519
250.011458	0.004428
255.017139	0.004339
260.007832	0.004254
265.014529	0.004172
270.004939	0.004094
275.011904	0.004017
280.017590	0.003945
285.008290	0.003872
290.015010	0.003804
295.005664	0.003738
300.012293	0.003674
305.017980	0.003613
310.008745	0.003552
315.015410	0.003492
320.006125	0.003437
325.011813	0.003379
330.018483	0.003329
335.009071	0.003277
340.014796	0.003227
345.005420	0.003178
350.012273	0.003132
355.018942	0.003086
360.008638	0.003042
365.015341	0.002998
370.006018	0.002956
375.012719	0.002916
380.019384	0.002875
385.010099	0.002838
390.015747	0.002799
395.006474	0.002762
400.013167	0.002726
405.003727	0.002690
410.010547	0.002657
415.017238	0.002623
420.006807	0.002591
425.013347	0.002558
430.004302	0.002528
435.011001	0.002498
440.017696	0.002465
445.007252	0.002437
450.014077	0.002411
455.004737	0.002381
460.011456	0.002355
465.018146	0.002328
470.007838	0.002301
475.014380	0.002276
480.005212	0.002251
485.011902	0.002227
490.018492	0.002202
495.008153	0.002180
500.014829	0.002156
505.005668	0.002134
510.012375	0.002112
515.019032	0.002089
520.009745	0.002069
525.015407	0.002047
530.006118	0.002027
535.012807	0.002007
540.019477	0.001988
545.010138	0.001968
550.015884	0.001948
555.006452	0.001930
560.013266	0.001912
565.019894	0.001893
570.010637	0.001875
575.017219	0.001858
580.007750	0.001842
585.014524	0.001825
590.004397	0.001809
595.010976	0.001792
600.017786	0.001776
605.008379	0.001761
610.015101	0.001745
615.005737	0.001730
620.011545	0.001715
625.018218	0.001701
630.008923	0.001687
635.015623	0.001672
640.006309	0.001658
645.012957	0.001644
650.019580	0.001630
655.009380	0.001617
660.015945	0.001605
665.006764	0.001591
670.013436	0.001578
675.004006	0.001566
680.010831	0.001554
685.017522	0.001542
690.007024	0.001528
695.013902	0.001517
700.004432	0.001506
705.011267	0.001494
710.017959	0.001482
715.008556	0.001471
720.015212	0.001461
725.006041	0.001451
730.011730	0.001439
735.018126	0.001429
740.009119	0.001419
745.015803	0.001409
750.006489	0.001398
755.013197	0.001388
760.003743	0.001378
765.010569	0.001369
770.017260	0.001359
775.006797	0.001349
780.013536	0.001340
785.004210	0.001330
790.011016	0.001322
795.017708	0.001312
800.008404	0.001303
805.013967	0.001293
810.004777	0.001286
815.011480	0.001278
820.018152	0.001269
825.008872	0.001260
830.015546	0.001251
835.005119	0.001245
840.011928	0.001236
845.018599	0.001228
850.009290	0.001221
855.015909	0.001213
860.006685	0.001204
865.013374	0.001197
870.004063	0.001190
875.010756	0.001182
880.016436	0.001174
885.007009	0.001167
890.013583	0.001161
895.004411	0.001153
900.011210	0.001146
905.016902	0.001139
910.007588	0.001132
915.014283	0.001126
920.004684	0.001119
925.011672	0.001113
930.018298	0.001107
935.008006	0.001099
940.014627	0.001093
945.005375	0.001086
950.012116	0.001081
955.018666	0.001074
960.009498	0.001067
965.016091	0.001063
970.005819	0.001056
975.012437	0.001050
980.019081	0.001043
985.009947	0.001039
990.016515	0.001033
995.006166	0.001027
1000.012979	0.001021
1005.003594	0.001016
1010.010402	0.001011
1015.016952	0.001005
1020.007672	0.001000
1025.014357	0.000994
1030.004037	0.000989
1035.010851	0.000983
1040.017442	0.000978
1045.007972	0.000973
1050.014782	0.000968
1055.005507	0.000963
1060.011226	0.000958
1065.017933	0.000953
1070.008694	0.000948
1075.711009	0.000944
1080.013815	0.000939
1085.004397	0.000934
1090.011200	0.000929
1095.017903	0.000926
1100.007586	0.000920
1105.014275	0.000916
1110.004697	0.000911
1115.011426	0.000907
1120.018356	0.000902
1125.009042	0.000898
1130.014738	0.000893
1135.005290	0.000889
1140.012122	0.000884
1145.018793	0.000880
1150.009500	0.000877
1155.016203	0.000872
1160.006875	0.000867
1165.012566	0.000863
1170.003121	0.000859
1175.009868	0.000856
1180.016644	0.000851
1185.007330	0.000849
1190.014002	0.000843
1195.003635	0.000840
1200.010152	0.000837
1205.017105	0.000832
1210.007783	0.000828
1215.014456	0.000825
1220.005050	0.000821
1225.010861	0.000818
1230.017547	0.000814
1235.008177	0.000810
1240.014906	0.000806
1245.005630	0.000802
1250.012325	0.000799
1255.018994	0.000795
1260.008703	0.000795
1265.015410	0.000787
1270.006077	0.000785
1275.012775	0.000782
1280.019455	0.000779
1285.010042	0.000776
1290.016809	0.000771
1295.006536	0.000768
1300.013237	0.000764
1305.003796	0.000762
1310.010620	0.000758
1315.018594	0.000755
1320.007993	0.000752
1325.014682	0.000750
1330.005371	0.000745
1335.011048	0.000742
1340.017751	0.000740
1345.008332	0.000736
1350.015026	0.000733
1355.005579	0.000730
1360.012524	0.000726
1365.018198	0.000724
1370.008788	0.000721
1375.015597	0.000719
1380.006166	0.000715
1385.012846	0.000712
1390.019659	0.000710
1395.009344	0.000707
1400.015958	0.000704
1405.006622	0.000702
1410.013435	0.000699
1415.003990	0.000695
1420.010719	0.000693
1425.016357	0.000690
1430.007065	0.000687
1435.013895	0.000685
1440.004331	0.000681
1445.011271	0.000680
1450.017913	0.000677
1455.007652	0.000673
1460.014348	0.000672
1465.005033	0.000668
1470.011733	0.000667
1475.018243	0.000664
1480.007926	0.000661
1485.014810	0.000659
1490.005369	0.000657
1495.012177	0.000653
1500.018782	0.000651
1505.008563	0.000649
1510.014993	0.000647
1515.005887	0.000644
1520.012636	0.000642
1525.019272	0.000639
1530.009020	0.000637
1535.015713	0.000635
1540.006426	0.000633
1545.013097	0.000631
1550.003589	0.000628
1555.010436	0.000626
1560.016125	0.000623
1565.006859	0.000621
