Filename: data/mm300.txt
Copyright Paul Hubbard (phubbard@watchotaku.com) 2010
License: http://creativecommons.org/licenses/by/3.0/us/
See http://watchotaku.com/display/swr/Measure+luminosity
Timestamp: 2010-06-28 18:10:51.583039
UTC timestamp: 2010-06-29 01:10:51.583054
Time(seconds)	Lux
5.008525	0.169650
10.014240	0.083885
15.005010	0.057373
20.011855	0.044029
25.017646	0.035885
30.008409	0.030356
35.015157	0.026340
40.005812	0.023277
45.011680	0.020864
50.018323	0.018907
55.009183	0.017292
60.014911	0.015878
65.005618	0.014723
70.012422	0.013726
75.018199	0.012855
80.008925	0.012087
85.015640	0.011402
90.005341	0.010793
95.012231	0.010244
100.018945	0.009748
105.008663	0.009298
110.015470	0.008885
115.006248	0.008510
120.012014	0.008202
125.018749	0.007846
130.009483	0.007550
135.015277	0.007275
140.005875	0.007017
145.012689	0.006777
150.018514	0.006554
155.009294	0.006344
160.016052	0.006146
165.005687	0.005961
170.012563	0.005785
175.019299	0.005620
180.009065	0.005465
185.015838	0.005310
190.005579	0.005169
195.012339	0.005037
200.019078	0.004910
205.008816	0.004789
210.015599	0.004674
215.006358	0.004564
220.012111	0.004460
225.018866	0.004358
230.009617	0.004263
235.015372	0.004171
240.006023	0.004082
245.012879	0.003997
250.018577	0.003917
255.009398	0.003837
260.016144	0.003762
265.005796	0.003689
270.012653	0.003620
275.019383	0.003553
280.009147	0.003488
285.015949	0.003424
290.006611	0.003364
295.012424	0.003306
300.019038	0.003250
305.009932	0.003194
310.015577	0.003139
315.006450	0.003088
320.013162	0.003039
325.018914	0.002989
330.009698	0.002943
335.016459	0.002898
340.006119	0.002854
345.012958	0.002811
350.003678	0.002769
355.009461	0.002729
360.016121	0.002690
365.006851	0.002652
370.012689	0.002615
375.003380	0.002578
380.010227	0.002542
385.015947	0.002508
390.006644	0.002475
395.013443	0.002443
400.019228	0.002410
405.009991	0.002379
410.016756	0.002349
415.006497	0.002320
420.013264	0.002291
425.003888	0.002263
430.009758	0.002235
435.016514	0.002208
440.007268	0.002181
445.012983	0.002155
450.003761	0.002129
455.010489	0.002106
460.017090	0.002081
465.007032	0.002058
470.013790	0.002035
475.004447	0.002013
480.010147	0.001990
485.017044	0.001968
490.007786	0.001948
495.014541	0.001928
500.004126	0.001907
505.011012	0.001887
510.017810	0.001867
515.007542	0.001847
520.014308	0.001829
525.004928	0.001810
530.010772	0.001792
535.017563	0.001775
540.008279	0.001757
545.015093	0.001741
550.004809	0.001723
555.011565	0.001707
560.018330	0.001690
565.007945	0.001674
570.014807	0.001658
575.005480	0.001643
580.012331	0.001628
585.017807	0.001614
590.008838	0.001599
595.015596	0.001584
600.006332	0.001571
605.012086	0.001557
610.018811	0.001543
615.009596	0.001530
620.015343	0.001517
625.006082	0.001504
630.012837	0.001492
635.019585	0.001478
640.009346	0.001466
645.016032	0.001455
650.005811	0.001442
655.012505	0.001431
660.019326	0.001419
665.010072	0.001407
670.015852	0.001395
675.006546	0.001385
680.013317	0.001374
685.002879	0.001363
690.009872	0.001352
695.016604	0.001341
700.006184	0.001331
705.013075	0.001321
710.003851	0.001311
715.009600	0.001302
720.016320	0.001291
725.007099	0.001282
730.012776	0.001273
735.003432	0.001263
740.010374	0.001253
745.016104	0.001245
750.006847	0.001235
755.013605	0.001226
760.004231	0.001218
765.010109	0.001210
770.016867	0.001201
775.007514	0.001192
780.013364	0.001186
785.003984	0.001177
790.010821	0.001168
795.016619	0.001161
800.007232	0.001152
805.013022	0.001144
810.003854	0.001137
815.010483	0.001128
820.017398	0.001121
825.007101	0.001114
830.013894	0.001107
835.004481	0.001099
840.011372	0.001093
845.017076	0.001085
850.007859	0.001078
855.013514	0.001072
860.004207	0.001065
865.011082	0.001058
870.016829	0.001052
875.007576	0.001044
880.014358	0.001038
885.004977	0.001032
890.010817	0.001026
895.017490	0.001020
900.008351	0.001013
905.014023	0.001007
910.004729	0.001001
915.011602	0.000995
920.018317	0.000989
925.008099	0.000983
930.014869	0.000978
935.005583	0.000971
940.011311	0.000966
945.018057	0.000960
950.008847	0.000955
955.014550	0.000949
960.005166	0.000945
965.012091	0.000938
970.017825	0.000934
975.008548	0.000928
980.015302	0.000922
985.005998	0.000918
990.011837	0.000913
995.018569	0.000907
1000.009280	0.000903
1005.016087	0.000898
1010.005803	0.000892
1015.012586	0.000888
1020.019161	0.000883
1025.008954	0.000878
1030.015832	0.000873
1035.006566	0.000870
1040.012318	0.000864
1045.019003	0.000860
1050.009824	0.000855
1055.016561	0.000851
