Filename: data/momentumM50.txt
Focal length: 15.000000 cm
Copyright Paul Hubbard (phubbard@watchotaku.com) 2011
License: http://creativecommons.org/licenses/by/3.0/us/
See http://watchotaku.com/display/swr/Measure+luminosity
Timestamp: 2011-01-01 13:33:27.057250
UTC timestamp: 2011-01-01 21:33:27.057262

Time(seconds)	Lux
0.005460	0.035437
5.017998	0.028577
10.014020	0.023828
15.008554	0.018989
20.018841	0.016538
25.014912	0.015583
30.008239	0.014004
35.017767	0.012713
40.013372	0.011609
45.009180	0.009951
50.004319	0.009578
55.016201	0.009237
60.011680	0.008625
65.007089	0.008213
70.018443	0.007759
75.014580	0.007197
80.010323	0.006399
85.006076	0.006479
90.017669	0.006161
95.012504	0.005881
100.006187	0.005609
105.016810	0.005228
110.012894	0.004929
115.009044	0.004955
120.004400	0.004751
125.017003	0.004648
130.013320	0.004495
135.009659	0.004300
140.006228	0.003818
145.018903	0.003972
150.014779	0.003839
155.011389	0.003719
160.008057	0.003602
165.004514	0.003474
170.016866	0.003158
175.013221	0.003302
180.008029	0.003201
185.004245	0.003165
190.016834	0.003091
195.013274	0.002990
200.009499	0.002622
205.006404	0.002800
210.018701	0.002728
215.014985	0.002662
220.011454	0.002597
225.007900	0.002538
230.004231	0.002196
235.016967	0.002430
240.013296	0.002368
245.010234	0.002353
250.006316	0.002311
255.018925	0.002249
260.015364	0.001789
265.011836	0.002123
270.008262	0.002079
275.004739	0.002036
280.017461	0.001994
285.014163	0.001960
290.010605	0.001657
295.007408	0.001889
300.003575	0.001847
305.016202	0.001846
310.012908	0.001819
315.009550	0.001774
320.006095	0.001487
325.018707	0.001685
330.014801	0.001655
335.011633	0.001626
340.008453	0.001597
345.005007	0.001573
350.017486	0.001385
355.014115	0.001524
360.010313	0.001496
365.006867	0.001499
370.018572	0.001479
375.010813	0.001445
380.014635	0.001274
385.010827	0.001379
390.006950	0.001356
395.003316	0.001337
400.015953	0.001316
405.012510	0.001299
410.009092	0.001193
415.005632	0.001259
420.016414	0.001244
425.012891	0.001249
430.009408	0.001241
435.006148	0.001229
440.018698	0.001079
445.015206	0.001163
450.010900	0.001157
455.007656	0.001140
460.004340	0.001126
465.016657	0.001114
470.012730	0.001039
475.009123	0.001059
480.005255	0.001070
485.017927	0.001078
490.014179	0.001069
495.011079	0.001050
500.007614	0.000938
505.004310	0.000985
510.016703	0.000994
515.013367	0.000983
520.010144	0.000968
525.006828	0.000961
530.003576	0.000906
535.016168	0.000881
540.012047	0.000927
545.008595	0.000935
550.005206	0.000931
555.017659	0.000913
560.012847	0.000817
565.009294	0.000812
570.004770	0.000870
575.017395	0.000859
580.013829	0.000850
585.010564	0.000844
590.007054	0.000797
595.003612	0.000765
600.015943	0.000819
605.012485	0.000827
610.008771	0.000823
615.005488	0.000810
620.017932	0.000728
625.014423	0.000755
630.010531	0.000765
635.007206	0.000758
640.003847	0.000751
645.016365	0.000747
650.012975	0.000706
655.009268	0.000698
660.004061	0.000724
665.016104	0.000734
670.012488	0.000732
675.009113	0.000720
680.005690	0.000646
685.018157	0.000689
690.014506	0.000689
695.011320	0.000683
700.008049	0.000677
705.004611	0.000673
710.017216	0.000636
715.013670	0.000651
720.009687	0.000649
725.006584	0.000664
730.018736	0.000661
735.015172	0.000652
740.011848	0.000587
745.008283	0.000629
750.004170	0.000622
755.016971	0.000621
760.013744	0.000615
765.010340	0.000612
770.007265	0.000580
775.003650	0.000602
780.015899	0.000578
785.012449	0.000605
790.009232	0.000604
795.005988	0.000596
800.018476	0.000538
805.014884	0.000577
810.011152	0.000559
815.007787	0.000568
820.004408	0.000563
825.016987	0.000560
830.013811	0.000533
835.010063	0.000554
840.006172	0.000513
845.018960	0.000555
850.014844	0.000554
855.011351	0.000546
860.008067	0.000496
865.004340	0.000529
870.016278	0.000490
875.012878	0.000522
880.009484	0.000519
885.005949	0.000516
890.018405	0.000494
895.014858	0.000510
900.009552	0.000475
905.006279	0.000512
910.018687	0.000512
915.015207	0.000505
920.011826	0.000460
925.008132	0.000490
930.004186	0.000477
935.016694	0.000483
940.013119	0.000480
945.009664	0.000479
950.006315	0.000458
955.018555	0.000472
960.014762	0.000455
965.011411	0.000474
970.006961	0.000478
975.003742	0.000470
980.015943	0.000431
985.012280	0.000455
990.008660	0.000451
995.005040	0.000450
1000.017738	0.000448
1005.013180	0.000446
1010.009740	0.000429
1015.006216	0.000442
1020.018137	0.000433
1025.014849	0.000441
1030.011287	0.000444
1035.007961	0.000438
1040.004509	0.000405
1045.016765	0.000426
1050.012748	0.000424
1055.009362	0.000418
1060.006038	0.000418
1065.018452	0.000417
1070.014991	0.000402
1075.011603	0.000413
1080.007478	0.000409
1085.003996	0.000405
1090.016213	0.000417
1095.012653	0.000412
1100.009167	0.000383
1105.005542	0.000400
1110.017527	0.000398
1115.014004	0.000386
1120.010713	0.000393
1125.007287	0.000392
1130.003821	0.000379
1135.016324	0.000389
1140.010913	0.000386
1145.007547	0.000373
1150.003935	0.000391
1155.016463	0.000388
1160.012658	0.000360
1165.009064	0.000376
1170.005044	0.000375
1175.017552	0.000352
1180.014399	0.000371
1185.010785	0.000369
1190.007519	0.000358
1195.003451	0.000367
1200.015558	0.000364
1205.011949	0.000350
1210.008031	0.000370
1215.004638	0.000365
1220.017293	0.000342
1225.013628	0.000355
1230.009458	0.000354
1235.006040	0.000347
1240.018519	0.000351
1245.015222	0.000349
1250.011940	0.000341
1255.008260	0.000348
1260.004298	0.000344
1265.016968	0.000339
1270.013218	0.000350
1275.009699	0.000346
1280.006328	0.000325
1285.018763	0.000337
1290.014576	0.000335
1295.011049	0.000332
1300.007676	0.000332
1305.004463	0.000331
1310.017001	0.000325
1315.013598	0.000329
1320.009497	0.000327
1325.006294	0.000328
1330.018266	0.000329
1335.015012	0.000329
1340.011027	0.000309
1345.007463	0.000319
1350.019037	0.000320
1355.015712	0.000318
1360.011575	0.000314
1365.007301	0.000315
1370.018504	0.000310
1375.013727	0.000314
1380.008047	0.000311
1385.019215	0.000315
1390.014509	0.000308
1395.009600	0.000314
1400.004831	0.000296
1405.015880	0.000305
1410.010065	0.000305
1415.005112	0.000305
1420.016100	0.000293
1425.011278	0.000302
1430.006438	0.000296
1435.017479	0.000300
1440.012598	0.000298
1445.007635	0.000302
1450.018222	0.000288
1455.013182	0.000300
1460.007615	0.000284
1465.018425	0.000291
1470.012585	0.000292
1475.007642	0.000290
1480.019115	0.000276
1485.014318	0.000288
1490.009313	0.000283
1495.004887	0.000288
1500.015789	0.000285
1505.011142	0.000289
1510.006583	0.000277
1515.017777	0.000287
1520.012931	0.000274
1525.008216	0.000279
1530.003481	0.000281
1535.014487	0.000279
1540.009770	0.000273
1545.005118	0.000277
1550.016683	0.000273
1555.011884	0.000277
1560.006821	0.000274
1565.018072	0.000279
