Filename: data/o7.txt
Focal length: 15.000000 cm
Copyright Paul Hubbard (phubbard@watchotaku.com) 2011
License: http://creativecommons.org/licenses/by/3.0/us/
See http://watchotaku.com/display/swr/Measure+luminosity
Timestamp: 2011-03-10 10:17:18.617127
UTC timestamp: 2011-03-10 18:17:18.617141

Time(seconds)	Lux
0.003440	0.273616
5.003199	0.125121
10.003335	0.076513
15.004020	0.055891
20.003372	0.043886
25.003200	0.036058
30.004497	0.030519
35.004312	0.026488
40.004040	0.022535
45.003931	0.020891
50.004225	0.018899
55.005175	0.017317
60.004723	0.013678
65.004534	0.014779
70.004883	0.013451
75.003369	0.012573
80.003289	0.011765
85.004716	0.011050
90.004452	0.010403
95.004180	0.009844
100.003775	0.009013
105.003330	0.008889
110.004453	0.008486
115.004926	0.008148
120.004886	0.007826
125.003707	0.007539
130.003912	0.007079
135.004424	0.006816
140.004752	0.006552
145.003453	0.006304
150.003772	0.006071
155.003448	0.005859
160.003662	0.005464
165.004051	0.005483
170.004540	0.005317
175.003158	0.005182
180.003541	0.005066
185.003016	0.004886
190.003405	0.004679
195.003147	0.004557
200.003552	0.004425
205.004119	0.004302
210.003610	0.004182
215.004739	0.004071
220.004931	0.003830
225.003149	0.003879
230.003062	0.003793
235.004966	0.003726
240.004914	0.003665
245.004007	0.003068
250.003687	0.003444
255.003648	0.003377
260.003674	0.003306
265.003878	0.003236
270.004042	0.003168
275.003303	0.003103
280.005053	0.002940
285.003336	0.002994
290.003680	0.002944
295.003837	0.002907
300.003539	0.002872
305.003719	0.002265
310.003428	0.002722
315.003801	0.002680
320.003467	0.002631
325.003767	0.002583
330.003565	0.002538
335.004770	0.002491
340.004832	0.002365
345.004271	0.002415
350.004716	0.002380
355.004888	0.002354
360.003556	0.002330
365.004738	0.001976
370.004042	0.002219
375.004280	0.002187
380.004087	0.002150
385.004252	0.002115
390.004616	0.002079
395.004659	0.002047
400.003236	0.001946
405.003667	0.001990
410.004070	0.001965
415.004345	0.001948
420.004582	0.001931
425.004536	0.001906
430.004373	0.001849
435.004392	0.001821
440.004579	0.001793
445.004747	0.001766
450.004802	0.001739
455.004278	0.001716
460.004549	0.001637
465.004890	0.001673
470.003463	0.001651
475.004021	0.001642
480.003985	0.001629
485.003563	0.001611
490.004094	0.001522
495.004518	0.001541
500.004771	0.001520
505.005030	0.001500
510.004894	0.001477
515.004967	0.001458
520.003417	0.001392
525.002953	0.001424
530.003932	0.001406
535.003052	0.001399
540.003893	0.001389
545.003416	0.001374
550.003973	0.001132
555.003151	0.001321
560.003807	0.001302
565.003733	0.001284
570.004305	0.001267
575.004007	0.001250
580.004357	0.001195
585.004373	0.001223
590.003867	0.001209
595.003342	0.001204
600.003490	0.001198
605.004830	0.001185
610.004262	0.000937
615.004446	0.001138
620.004773	0.001121
625.003249	0.001107
630.003790	0.001092
635.003408	0.001080
640.003202	0.001035
645.005144	0.001058
650.004680	0.001047
655.005118	0.001042
660.003954	0.001038
665.003441	0.001027
670.003743	0.000896
675.004172	0.000989
680.004282	0.000975
685.003201	0.000962
690.003978	0.000951
695.003810	0.000941
700.004167	0.000902
705.004487	0.000921
710.004663	0.000911
715.004621	0.000910
720.005050	0.000906
725.004271	0.000897
730.003975	0.000875
735.004224	0.000866
740.004899	0.000853
745.003616	0.000842
750.004695	0.000832
755.004504	0.000823
760.004883	0.000793
765.003861	0.000808
770.003498	0.000800
775.004545	0.000800
780.004630	0.000797
785.003867	0.000790
790.004384	0.000769
795.004695	0.000740
800.003355	0.000752
805.003756	0.000743
810.004295	0.000734
815.004109	0.000728
820.004671	0.000703
825.003416	0.000714
830.004040	0.000709
835.004541	0.000708
840.005020	0.000706
845.005086	0.000700
850.003263	0.000681
855.003837	0.000582
860.004401	0.000668
865.004938	0.000661
870.003482	0.000653
875.004003	0.000647
880.004234	0.000627
885.004622	0.000636
890.004944	0.000632
895.003496	0.000632
900.004162	0.000631
905.004246	0.000627
910.004691	0.000609
915.004771	0.000504
920.003301	0.000598
925.005027	0.000592
930.003238	0.000585
935.003034	0.000580
940.003257	0.000566
945.003316	0.000572
950.003773	0.000569
955.004419	0.000569
960.004753	0.000569
965.004916	0.000568
970.003617	0.000551
975.003785	0.000497
980.004406	0.000543
985.004822	0.000537
990.003212	0.000531
995.003028	0.000526
1000.003468	0.000515
1005.003480	0.000520
1010.003462	0.000518
1015.004004	0.000519
1020.004448	0.000520
1025.004440	0.000517
1030.004742	0.000503
1035.004908	0.000501
1040.004876	0.000497
1045.003259	0.000491
1050.003609	0.000486
1055.003806	0.000483
1060.004232	0.000474
1065.004321	0.000479
1070.004814	0.000476
1075.003299	0.000480
1080.003704	0.000478
1085.003669	0.000476
1090.003956	0.000464
1095.004299	0.000461
1100.004606	0.000445
1105.005005	0.000454
1110.003353	0.000449
1115.004790	0.000447
1120.003146	0.000438
1125.003336	0.000442
1130.003912	0.000440
1135.004185	0.000442
1140.004639	0.000442
1145.004949	0.000441
1150.003531	0.000430
1155.003659	0.000426
1160.003857	0.000367
1165.004285	0.000421
1170.004687	0.000418
1175.004628	0.000415
1180.004698	0.000409
1185.004475	0.000412
1190.004823	0.000410
1195.003525	0.000412
1200.004048	0.000412
1205.003550	0.000410
1210.003907	0.000402
1215.004187	0.000398
1220.004413	0.000333
1225.004965	0.000393
1230.003450	0.000389
1235.005012	0.000388
1240.003419	0.000382
1245.003535	0.000385
1250.004202	0.000383
1255.004907	0.000385
1260.003304	0.000386
1265.003553	0.000384
1270.004006	0.000376
1275.004250	0.000372
1280.004574	0.000343
1285.005034	0.000367
1290.003287	0.000365
1295.003561	0.000363
1300.003850	0.000359
1305.003735	0.000360
1310.004263	0.000359
1315.004481	0.000361
1320.004869	0.000361
1325.003045	0.000360
1330.003115	0.000352
1335.003654	0.000349
1340.003954	0.000348
1345.004438	0.000346
1350.004930	0.000342
1355.004639	0.000340
1360.005256	0.000337
1365.003415	0.000338
1370.003764	0.000338
1375.004186	0.000338
1380.004627	0.000340
1385.004585	0.000339
1390.005158	0.000331
1395.003599	0.000328
1400.004009	0.000327
1405.004386	0.000314
1410.004671	0.000321
1415.004537	0.000321
1420.004595	0.000317
1425.004791	0.000318
1430.003132	0.000317
1435.003460	0.000319
1440.003970	0.000320
1445.004946	0.000319
1450.004482	0.000313
1455.004855	0.000309
1460.004649	0.000307
1465.003069	0.000264
1470.003795	0.000304
1475.005443	0.000303
1480.005699	0.000300
1485.003770	0.000300
1490.004427	0.000299
1495.004472	0.000301
1500.004935	0.000303
1505.004627	0.000302
1510.003486	0.000296
1515.003536	0.000293
1520.004684	0.000291
1525.004665	0.000249
1530.004743	0.000288
1535.005042	0.000285
1540.003789	0.000285
1545.003404	0.000284
1550.004229	0.000282
1555.004327	0.000285
1560.004105	0.000286
1565.003507	0.000285
1570.004607	0.000281
1575.004027	0.000276
1580.003939	0.000275
1585.003654	0.000265
1590.003467	0.000271
1595.003048	0.000270
1600.003335	0.000268
1605.004941	0.000268
1610.004985	0.000267
1615.003162	0.000268
1620.005006	0.000270
1625.004934	0.000269
1630.003365	0.000266
1635.003134	0.000261
1640.003424	0.000260
1645.003835	0.000260
1650.004041	0.000258
1655.003647	0.000255
1660.004136	0.000254
1665.003845	0.000255
1670.004051	0.000253
1675.003910	0.000255
1680.003834	0.000257
1685.003569	0.000256
1690.004064	0.000251
1695.004295	0.000248
1700.004352	0.000246
1705.004870	0.000246
1710.004955	0.000228
1715.003697	0.000243
1720.003366	0.000241
1725.003491	0.000241
1730.004168	0.000241
1735.004687	0.000243
1740.003092	0.000244
1745.003141	0.000242
1750.004659	0.000240
1755.004625	0.000236
1760.004777	0.000235
1765.004584	0.000234
1770.004641	0.000199
1775.004662	0.000232
1780.004981	0.000231
1785.003319	0.000231
1790.003683	0.000230
1795.003675	0.000233
1800.003278	0.000233
