Filename: data/odiver.txt
Watch info at: http://watchotaku.com/display/~pfh/Prometheus+Ocean+Diver
Focal length: 15.000000 cm
Copyright Paul Hubbard (phubbard@watchotaku.com) 2010
License: http://creativecommons.org/licenses/by/3.0/us/
See http://watchotaku.com/display/swr/Measure+luminosity
Timestamp: 2010-07-31 10:37:19.885743
UTC timestamp: 2010-07-31 17:37:19.885768

Time(seconds)	Lux
0.007589	0.134990
5.014577	0.036332
10.005258	0.021403
15.011858	0.015202
20.017529	0.011783
25.008281	0.009610
30.015043	0.008208
35.005697	0.006967
40.012409	0.006132
45.019117	0.005471
50.009822	0.004937
55.015510	0.004495
60.006163	0.004123
65.012910	0.003805
70.003555	0.003535
75.010215	0.003297
80.016872	0.003090
85.006480	0.002905
90.013381	0.002741
95.003917	0.002594
100.010656	0.002462
105.017457	0.002342
110.008154	0.002232
115.013850	0.002132
120.004538	0.002039
125.011237	0.001954
130.017934	0.001877
135.008505	0.001806
140.015323	0.001737
145.005980	0.001674
150.011624	0.001615
155.018401	0.001558
160.008955	0.001507
165.015796	0.001459
170.006501	0.001415
175.013187	0.001372
180.018859	0.001332
185.009457	0.001294
190.016282	0.001260
195.006858	0.001225
200.013595	0.001194
205.004337	0.001164
210.010050	0.001135
215.016748	0.001106
220.007325	0.001080
225.014130	0.001055
230.004724	0.001027
235.011537	0.001003
240.017141	0.000981
245.007801	0.000960
250.014615	0.000941
255.005141	0.000922
260.012008	0.000903
265.017683	0.000885
270.008281	0.000866
275.015087	0.000850
280.005665	0.000832
285.012475	0.000818
290.018972	0.000803
295.008869	0.000789
300.015564	0.000774
305.006140	0.000761
310.012960	0.000749
315.003621	0.000736
320.010225	0.000725
325.017047	0.000715
330.006614	0.000707
335.013424	0.000698
340.004120	0.000686
345.010703	0.000674
350.017475	0.000664
355.008207	0.000654
360.014920	0.000645
365.004733	0.000636
370.011294	0.000624
375.017970	0.000614
380.008561	0.000606
385.015347	0.000599
390.005959	0.000591
395.012767	0.000583
400.018443	0.000574
405.009031	0.000567
410.015860	0.000559
415.006550	0.000551
420.013254	0.000544
425.003936	0.000537
430.010511	0.000530
435.017328	0.000524
440.007907	0.000516
445.013674	0.000511
450.004410	0.000505
455.011063	0.000499
460.017765	0.000493
465.008376	0.000488
470.015093	0.000483
475.004884	0.000480
480.011483	0.000476
485.018228	0.000472
490.008833	0.000469
495.015575	0.000464
500.006225	0.000457
505.012054	0.000453
510.018738	0.000446
515.009449	0.000442
520.016147	0.000437
525.006717	0.000433
530.013551	0.000427
