Filename: data/pmt56.txt
Watch info at: http://watchotaku.com/display/~pfh/Citizen+Promaster+PMT56-2711
Focal length: 15.000000 cm
Copyright Paul Hubbard (phubbard@watchotaku.com) 2010
License: http://creativecommons.org/licenses/by/3.0/us/
See http://watchotaku.com/display/swr/Measure+luminosity
Timestamp: 2010-09-06 11:51:21.820574
UTC timestamp: 2010-09-06 18:51:21.820589

Time(seconds)	Lux
0.005156	0.027749
5.014565	0.017271
10.006665	0.013088
15.015840	0.010261
20.008948	0.008679
25.018080	0.007644
30.011197	0.006836
35.020310	0.006312
40.013483	0.005826
45.006589	0.005439
50.015721	0.005119
55.008863	0.004847
60.017997	0.004612
65.011115	0.004412
70.020220	0.004230
75.013383	0.004073
80.006416	0.003937
85.015657	0.003814
90.008777	0.003704
95.017764	0.003606
100.011016	0.003516
105.020166	0.003437
110.013301	0.003367
115.006424	0.003305
120.015531	0.003265
125.008696	0.003204
130.017805	0.003146
135.010906	0.003114
140.020061	0.003071
145.013062	0.003035
150.006314	0.002944
155.015389	0.002901
160.008544	0.002853
165.017737	0.002815
170.010742	0.002780
175.019984	0.002745
180.013115	0.002703
185.006046	0.002680
190.015361	0.002646
195.008521	0.002596
200.017593	0.002469
205.010753	0.002345
210.018885	0.002350
215.011911	0.002432
220.021108	0.002483
225.014163	0.002367
230.007198	0.002331
235.016456	0.002326
240.009402	0.002298
245.019601	0.002275
250.012911	0.002249
255.005773	0.002226
260.014936	0.002212
265.008096	0.002188
270.017395	0.002168
275.010505	0.002154
280.019620	0.002134
285.012800	0.002126
290.005767	0.002114
295.014959	0.002088
300.008239	0.002069
305.017281	0.002065
310.010496	0.002051
315.019626	0.002037
320.011763	0.002032
325.020873	0.002024
330.013886	0.002010
335.006886	0.002006
340.016277	0.001998
345.009436	0.001991
350.018419	0.001992
355.010401	0.001982
360.019796	0.001974
365.012911	0.001972
370.005917	0.001965
375.015149	0.001959
380.008235	0.001957
385.017373	0.001953
390.026184	0.001955
395.019702	0.001948
400.012800	0.001945
405.005828	0.001931
410.014926	0.001940
415.007200	0.001936
420.016329	0.001936
425.009528	0.001933
430.018639	0.001924
435.011815	0.001917
440.020902	0.001918
445.013829	0.001909
450.006963	0.001906
455.016321	0.001909
460.009419	0.001903
465.018624	0.001904
470.011655	0.001903
475.020773	0.001897
480.013787	0.001895
485.007102	0.001890
490.015054	0.001884
495.008315	0.001877
500.017394	0.001875
505.010561	0.001872
510.019725	0.001866
515.012815	0.001859
520.005984	0.001859
525.014974	0.001856
530.008157	0.001848
535.017296	0.001842
540.010368	0.001841
545.019536	0.001827
550.012776	0.001827
555.020891	0.001831
560.014001	0.001820
565.006989	0.001816
570.016169	0.001814
575.009365	0.001800
580.018564	0.001808
585.011634	0.001802
590.019715	0.001791
595.012910	0.001793
600.005982	0.001790
605.015115	0.001768
610.008242	0.001775
615.017388	0.001774
620.010578	0.001740
625.019682	0.001725
630.011836	0.001751
635.020994	0.001742
640.014099	0.001753
645.007091	0.001779
650.016346	0.001794
655.009465	0.001793
660.018623	0.001795
665.010763	0.001819
670.019865	0.001820
675.013018	0.001828
680.006188	0.001855
685.015321	0.001881
690.008362	0.001906
695.017542	0.001926
700.010656	0.001871
