Filename: data/rgm151p.txt
Watch info at: http://watchotaku.com/display/swr/RGM+151P
Focal length: 15.000000 cm
Copyright Paul Hubbard (phubbard@watchotaku.com) 2011
License: http://creativecommons.org/licenses/by/3.0/us/
See http://watchotaku.com/display/swr/Measure+luminosity
Timestamp: 2011-01-01 14:47:23.842884
UTC timestamp: 2011-01-01 22:47:23.842899

Time(seconds)	Lux
0.007251	0.038695
5.019071	0.018554
10.015075	0.011348
15.010362	0.008998
20.004677	0.007265
25.016390	0.005886
30.012230	0.004988
35.006655	0.004319
40.018925	0.003698
45.014558	0.003389
50.010989	0.003060
55.007310	0.002782
60.004124	0.002555
65.016322	0.002358
70.012374	0.002061
75.009059	0.002011
80.005773	0.001908
85.018417	0.001789
90.014924	0.001684
95.009221	0.001591
100.005938	0.001472
105.018767	0.001293
110.015327	0.001371
115.011958	0.001304
120.008560	0.001246
125.004694	0.001191
130.016682	0.001092
135.012762	0.001092
140.009568	0.001059
145.006142	0.001019
150.018711	0.000982
155.014443	0.000948
160.011084	0.000897
165.007950	0.000886
170.004664	0.000851
175.017317	0.000830
180.014182	0.000804
185.010477	0.000781
190.007132	0.000726
195.003712	0.000737
200.016463	0.000719
205.013021	0.000699
210.009678	0.000682
215.005987	0.000662
220.018330	0.000635
225.015027	0.000631
230.011930	0.000616
235.008528	0.000601
240.005275	0.000587
245.017291	0.000577
250.013724	0.000551
255.010155	0.000548
265.018934	0.000516
270.015481	0.000503
275.011534	0.000491
280.007877	0.000474
285.004542	0.000473
290.016778	0.000464
295.012956	0.000457
300.009791	0.000447
305.006362	0.000441
310.018732	0.000427
315.015103	0.000421
320.011925	0.000417
325.008347	0.000409
330.005236	0.000402
335.015888	0.000394
340.012322	0.000386
345.008762	0.000381
350.005459	0.000368
355.018168	0.000369
360.014873	0.000363
365.010517	0.000361
370.006882	0.000352
375.019056	0.000348
380.015869	0.000339
385.012315	0.000339
390.009051	0.000333
395.004646	0.000328
400.017405	0.000322
405.013960	0.000319
410.010797	0.000302
415.007562	0.000310
420.004276	0.000307
425.016624	0.000303
430.012252	0.000298
435.008875	0.000295
440.005797	0.000292
445.018289	0.000289
450.015065	0.000285
455.010279	0.000281
460.006805	0.000277
465.003520	0.000275
470.016191	0.000271
475.012905	0.000267
480.009550	0.000265
485.005878	0.000262
490.018385	0.000259
495.014550	0.000258
500.011083	0.000255
505.007625	0.000252
510.004377	0.000249
515.016105	0.000246
520.012658	0.000243
525.009110	0.000240
530.006095	0.000238
535.018378	0.000235
540.015286	0.000233
545.011243	0.000232
550.007939	0.000228
555.004691	0.000226
560.017218	0.000225
565.012973	0.000224
570.009753	0.000220
575.004131	0.000217
580.016629	0.000215
585.013269	0.000214
590.009982	0.000211
595.006505	0.000208
600.003213	0.000207
