Filename: data/seikot32.txt
Watch info at: http://watchotaku.com/display/~pfh/Seiko+quartz+chrono
Focal length: 15.000000 cm
Copyright Paul Hubbard (phubbard@watchotaku.com) 2010
License: http://creativecommons.org/licenses/by/3.0/us/
See http://watchotaku.com/display/swr/Measure+luminosity
Timestamp: 2010-09-06 13:07:16.786893
UTC timestamp: 2010-09-06 20:07:16.786908

Time(seconds)	Lux
0.011716	0.015764
5.004949	0.014861
10.014227	0.014060
15.007380	0.013371
20.016525	0.012734
25.009660	0.012153
30.018763	0.011648
35.011922	0.011180
40.021033	0.010730
45.014195	0.010082
50.007341	0.009683
55.016381	0.009346
60.009532	0.009039
65.018634	0.008758
70.011907	0.008502
75.021015	0.008267
80.014150	0.008045
85.007322	0.007837
90.016458	0.007809
95.008592	0.007570
100.017617	0.007244
105.010848	0.007222
110.019698	0.007124
115.013153	0.007020
120.006080	0.006942
125.015429	0.006821
130.008562	0.006638
135.017702	0.006501
140.010775	0.006400
145.019949	0.006263
150.012967	0.006158
155.006228	0.006049
160.015108	0.005939
165.008423	0.005856
170.017615	0.005746
175.010784	0.005800
180.019934	0.005561
185.012193	0.005554
190.021208	0.005582
195.014298	0.005474
200.007488	0.005354
205.016642	0.005318
210.009770	0.005232
215.018821	0.005049
220.012057	0.004854
225.021149	0.004780
230.014321	0.004720
235.007465	0.004676
240.016589	0.004673
245.009641	0.004648
250.018885	0.004528
255.012011	0.004498
260.021107	0.004573
265.014285	0.004544
270.007399	0.004295
275.016560	0.004208
280.009730	0.004158
285.018855	0.004124
290.011968	0.004106
295.021097	0.004176
300.014200	0.004241
305.007379	0.004376
310.016475	0.004374
315.009653	0.004347
320.018794	0.004302
325.011849	0.004260
330.021058	0.004215
335.014227	0.004176
340.007106	0.004130
345.016466	0.004066
350.009647	0.003971
355.018785	0.003996
360.011925	0.003961
365.020947	0.003936
370.014122	0.003916
375.012896	0.003876
380.005959	0.003839
385.015222	0.003818
390.008390	0.003803
395.017520	0.003766
400.010665	0.003723
405.019712	0.003705
410.012942	0.003667
415.006049	0.003649
420.015163	0.003615
425.008279	0.003590
430.017508	0.003553
435.010621	0.003539
440.019738	0.003520
445.012927	0.003487
450.006065	0.003483
455.015175	0.003358
460.008342	0.003239
465.017481	0.003444
470.010632	0.003407
475.019768	0.003411
480.012702	0.003396
485.005964	0.003370
490.015008	0.003339
495.008170	0.003319
500.017405	0.003289
505.009552	0.003290
510.018673	0.003279
515.011856	0.003263
520.020933	0.003247
525.014155	0.002995
530.007179	0.003038
535.016334	0.003172
540.008560	0.003169
545.017595	0.003128
550.010843	0.003157
555.020012	0.003144
560.013088	0.003113
565.006012	0.003099
570.015378	0.003082
575.007539	0.003074
580.016588	0.003088
585.009847	0.003099
590.018853	0.002986
595.012078	0.002932
600.021142	0.003088
605.013408	0.003074
615.015570	0.003061
620.008609	0.002811
625.017841	0.003016
630.010958	0.003009
635.020248	0.003005
640.012406	0.002790
645.005513	0.002762
650.014661	0.002744
655.007684	0.002699
660.016826	0.002884
665.009839	0.002519
670.019219	0.002438
675.012271	0.002503
680.020410	0.002710
685.013603	0.002763
690.006806	0.002708
695.015800	0.002753
700.009178	0.002556
705.017116	0.002432
710.010224	0.002587
715.019442	0.002857
720.012424	0.002876
725.005675	0.002663
730.014753	0.002499
735.007949	0.002352
740.016184	0.002310
745.009287	0.002271
750.018249	0.002259
755.011576	0.002260
760.020681	0.002269
765.013833	0.002364
770.005919	0.002492
775.015176	0.002420
780.008268	0.002247
785.017505	0.002193
790.010563	0.002190
795.019732	0.002176
800.011720	0.002180
805.020995	0.002183
810.014096	0.002174
815.007281	0.002158
820.016424	0.002193
825.009505	0.002214
830.017757	0.002225
835.010875	0.002303
840.020034	0.002446
845.013115	0.002708
850.006172	0.002698
855.015316	0.002697
860.007486	0.002526
865.016543	0.002237
870.009771	0.002132
875.018987	0.002156
880.012060	0.002291
885.021249	0.002243
890.013372	0.002076
895.006493	0.002104
900.015521	0.002150
905.008727	0.002251
910.017930	0.002337
915.011107	0.002354
920.020287	0.002212
925.012405	0.002506
930.005537	0.002545
935.014445	0.002130
940.007832	0.002122
945.016995	0.002083
950.010097	0.002088
955.018240	0.002034
960.011277	0.002037
965.020466	0.002209
970.013515	0.002177
975.006798	0.002132
980.015822	0.002100
985.008018	0.002077
990.017108	0.002055
995.010244	0.001848
1000.019494	0.001969
1005.012594	0.002028
1010.005780	0.002030
1015.014906	0.002058
1020.007933	0.002112
1025.017230	0.002122
1030.010208	0.002038
1035.019521	0.002084
1040.013054	0.002043
1045.005741	0.002003
1050.014919	0.001988
1055.008019	0.002012
1060.017203	0.002018
1065.010283	0.002023
1070.019465	0.001989
1075.012380	0.001999
1080.021758	0.002044
1085.014846	0.002056
1090.007990	0.002054
1095.017076	0.002093
1100.010312	0.002007
1105.018484	0.002010
1110.011590	0.002017
1115.020722	0.002059
1120.013762	0.002062
1125.006910	0.001969
1130.016109	0.001910
1135.009324	0.001923
1140.018389	0.001936
1145.011512	0.001958
1150.020723	0.002055
1155.013926	0.002102
1160.006998	0.002123
1165.016135	0.002113
1170.009303	0.002081
1175.018411	0.002050
1180.011590	0.001987
1185.020691	0.002039
1190.013805	0.002026
1195.005962	0.002008
1200.015209	0.002057
1205.008280	0.002056
1210.017429	0.002023
1215.010604	0.002004
1220.019692	0.001961
1225.012715	0.001962
1230.005982	0.001962
1235.015143	0.001969
1240.008137	0.002009
1245.017398	0.001989
1250.010554	0.001938
1255.019611	0.001953
1260.012839	0.002032
1265.020926	0.002092
1270.014043	0.002092
1275.007209	0.002091
1280.016405	0.002047
1285.009501	0.001897
1290.018643	0.001856
1295.011720	0.001802
1300.020876	0.001800
1305.014044	0.001800
1310.007030	0.001913
1315.016108	0.001946
1320.009240	0.001977
1325.018501	0.001958
1330.011704	0.001955
1335.020868	0.001991
1340.013962	0.001988
1345.007023	0.001971
1350.015240	0.001973
1355.008393	0.001976
1360.017345	0.001968
1365.010612	0.001963
1370.019737	0.001969
1375.012853	0.001965
1380.005870	0.001972
1385.015172	0.001961
1390.008257	0.001950
1395.017389	0.001919
1400.010569	0.001661
1405.019585	0.001736
1410.012849	0.001782
1415.005944	0.002029
1420.015073	0.002035
1425.008077	0.001793
1430.017319	0.001749
1435.010404	0.001718
1440.019631	0.001744
1445.012739	0.001761
1450.005554	0.001781
1455.015012	0.001855
1460.008094	0.002015
1465.017299	0.002114
1470.010383	0.002116
1475.019533	0.002070
1480.012665	0.002024
1485.005774	0.002055
1490.014864	0.001920
1495.007997	0.001991
1500.017217	0.002021
1505.010175	0.002057
1510.019356	0.002044
1515.012606	0.002010
1520.005632	0.001927
1525.014867	0.002056
1530.007898	0.002087
1535.017150	0.002090
1540.010166	0.002082
1545.019384	0.002077
1550.012588	0.002076
1555.005723	0.002082
1560.014886	0.002082
1565.008010	0.002078
1570.017042	0.002077
1575.010161	0.002074
1580.019332	0.002072
1585.012588	0.002072
1590.005562	0.002070
1595.014813	0.002072
1600.007969	0.002070
1605.017152	0.002069
1610.010286	0.002070
1615.019424	0.002070
1620.012554	0.002069
1625.021686	0.002060
1630.014845	0.002060
1635.007829	0.002066
1640.017038	0.002062
1645.010277	0.002057
1650.019345	0.002048
1655.012561	0.002058
1660.021670	0.001989
1665.014814	0.001868
1670.007988	0.001783
1675.017234	0.001758
1680.010272	0.001691
1685.019378	0.001643
1690.012526	0.001606
1695.021644	0.001607
1700.014680	0.001599
1705.006706	0.001593
1710.016053	0.001576
1715.009219	0.001583
1720.018362	0.001593
1725.011416	0.001545
1730.020525	0.001527
1735.013760	0.001517
1740.005942	0.001511
1745.015138	0.001508
1750.008228	0.001510
1755.017200	0.001513
1760.010459	0.001519
1765.019490	0.001530
1770.012813	0.001543
1775.020914	0.001565
1780.014076	0.001622
1785.007137	0.001848
1790.016357	0.001969
1795.009358	0.002051
1800.018670	0.002068
