Filename: data/stolas.txt
Focal length: 15.000000 cm
Copyright Paul Hubbard (phubbard@watchotaku.com) 2011
License: http://creativecommons.org/licenses/by/3.0/us/
See http://watchotaku.com/display/swr/Measure+luminosity
Timestamp: 2011-03-10 09:41:08.893129
UTC timestamp: 2011-03-10 17:41:08.893143

Time(seconds)	Lux
0.245057	0.529422
5.003351	0.166535
10.003482	0.101794
15.004758	0.073714
20.003406	0.057843
25.003390	0.047601
30.003405	0.040418
35.003938	0.035101
40.004565	0.031002
45.004357	0.027744
50.004878	0.025096
55.004924	0.022896
60.003384	0.021042
65.003142	0.019457
70.004737	0.018090
75.004164	0.016894
80.004611	0.015841
85.005027	0.014911
90.003341	0.014073
95.003640	0.013329
100.004123	0.012653
105.003772	0.012041
110.004442	0.011483
115.004789	0.010973
120.004733	0.010502
125.003342	0.010072
130.003731	0.009672
135.003652	0.009301
140.004103	0.008957
145.004406	0.008636
150.005065	0.008335
155.003510	0.008057
160.003949	0.007792
165.003562	0.007544
170.004111	0.007314
175.004642	0.007097
180.004982	0.006890
185.003352	0.006694
190.003743	0.006508
195.003678	0.006332
200.003921	0.006166
205.003642	0.006004
210.004180	0.005853
215.004143	0.005710
220.004582	0.005570
225.004491	0.005439
230.004931	0.005312
235.003056	0.005192
240.003230	0.005077
245.003127	0.004966
250.004573	0.004860
255.003902	0.004758
260.003360	0.004660
265.002924	0.004565
270.004245	0.004476
275.004629	0.004387
280.003249	0.004303
285.003039	0.004222
290.003450	0.004144
295.004010	0.004068
300.004445	0.003994
305.004855	0.003925
310.003366	0.003855
315.003478	0.003789
320.003928	0.003726
325.004575	0.003664
330.004998	0.003603
335.003743	0.003544
340.004272	0.003488
345.004383	0.003433
350.004951	0.003380
355.003373	0.003329
360.004018	0.003278
365.004700	0.003227
370.005036	0.003182
375.005056	0.003135
380.003430	0.003089
385.003953	0.003047
390.004563	0.003004
395.003148	0.002963
400.003850	0.002923
405.003156	0.002883
410.003650	0.002846
415.004250	0.002807
420.004699	0.002769
425.003249	0.002734
430.003776	0.002699
435.003391	0.002666
440.003898	0.002633
445.004222	0.002599
450.004495	0.002568
455.004622	0.002538
460.003279	0.002507
465.003704	0.002477
470.004024	0.002448
475.004453	0.002419
480.005059	0.002392
485.003615	0.002364
490.004153	0.002337
495.004348	0.002312
500.004652	0.002286
505.003263	0.002261
510.003653	0.002238
515.004336	0.002214
520.004731	0.002190
525.004695	0.002166
530.003177	0.002143
535.003827	0.002122
540.004368	0.002101
545.004902	0.002077
550.003431	0.002058
555.004965	0.002038
560.003371	0.002017
565.004012	0.001998
570.004394	0.001979
575.004949	0.001958
580.003557	0.001941
585.003697	0.001922
590.003727	0.001903
595.004306	0.001886
600.004827	0.001868
605.003605	0.001851
610.004101	0.001834
615.004173	0.001818
620.004843	0.001802
625.003363	0.001785
630.003996	0.001769
635.004437	0.001754
640.005024	0.001739
645.003208	0.001724
650.003554	0.001709
655.003953	0.001694
660.004093	0.001680
665.004076	0.001665
670.004519	0.001652
675.004599	0.001638
680.003058	0.001625
685.003668	0.001612
690.004172	0.001598
695.004722	0.001586
700.003309	0.001573
705.003802	0.001561
710.004356	0.001548
715.004855	0.001537
720.003458	0.001523
725.003960	0.001512
730.004739	0.001501
735.005187	0.001488
740.003758	0.001478
745.004194	0.001466
750.004523	0.001456
755.004977	0.001444
760.003411	0.001435
765.003951	0.001423
770.004034	0.001413
775.004694	0.001403
780.005189	0.001393
785.003720	0.001383
790.004438	0.001373
795.004843	0.001364
800.003193	0.001354
805.003265	0.001344
810.003683	0.001335
815.004354	0.001325
820.004892	0.001317
825.003271	0.001307
830.003888	0.001299
835.004370	0.001290
840.004932	0.001281
845.003395	0.001273
850.004017	0.001265
855.003627	0.001256
860.004200	0.001248
865.004635	0.001239
870.003350	0.001231
875.004018	0.001223
880.004417	0.001216
885.004124	0.001208
890.004789	0.001200
895.003405	0.001193
900.003759	0.001185
905.004433	0.001177
910.004796	0.001170
915.004851	0.001163
920.003350	0.001156
925.003986	0.001149
930.004309	0.001142
935.004822	0.001135
940.005425	0.001128
945.007652	0.001122
950.004182	0.001116
955.004765	0.001108
