Filename: data/yema.txt
Focal length: 15.000000 cm
Copyright Paul Hubbard (phubbard@watchotaku.com) 2010
License: http://creativecommons.org/licenses/by/3.0/us/
See http://watchotaku.com/display/swr/Measure+luminosity
Timestamp: 2010-11-17 19:16:52.446972
UTC timestamp: 2010-11-18 03:16:52.446997

Time(seconds)	Lux
0.011914	0.058537
5.018377	0.025212
10.009343	0.016676
15.015999	0.012257
20.006544	0.009922
25.013450	0.008202
30.004113	0.007152
35.009754	0.006182
40.016433	0.005484
45.007090	0.004798
50.013843	0.004483
55.004468	0.004098
60.010259	0.003783
65.016874	0.003507
70.007639	0.003266
75.014336	0.003022
80.005039	0.002880
85.011680	0.002712
90.018254	0.002565
95.008056	0.002435
100.014650	0.002312
105.005489	0.002146
110.012143	0.002107
115.018855	0.002017
120.009506	0.001931
125.015260	0.001854
130.005837	0.001779
135.012642	0.001691
140.019321	0.001643
145.009826	0.001580
150.016726	0.001517
155.006288	0.001467
160.012832	0.001416
165.003682	0.001338
170.010447	0.001331
175.017231	0.001293
180.007691	0.001254
185.014566	0.001226
190.005218	0.001196
195.011983	0.001158
200.017605	0.001143
205.008208	0.001117
210.014841	0.001083
215.005568	0.001067
220.012398	0.001042
225.018098	0.001000
230.008671	0.000999
235.015490	0.000977
240.006137	0.000948
245.012874	0.000937
250.019437	0.000919
255.009258	0.000893
260.015949	0.000883
265.006609	0.000865
270.013325	0.000844
275.004020	0.000832
280.010711	0.000816
285.017347	0.000785
290.008096	0.000787
295.014786	0.000773
300.004389	0.000753
305.011076	0.000746
310.017853	0.000734
315.008266	0.000716
320.015238	0.000711
325.005920	0.000699
330.012624	0.000684
335.019293	0.000676
340.009007	0.000666
345.015622	0.000643
350.006252	0.000647
355.013080	0.000636
360.003770	0.000626
365.010459	0.000617
370.017099	0.000608
375.006851	0.000594
380.013536	0.000591
385.004205	0.000583
390.010808	0.000574
395.017619	0.000567
400.008244	0.000560
405.014995	0.000542
410.005573	0.000548
415.012374	0.000540
420.019051	0.000534
425.008634	0.000525
430.015455	0.000519
435.006031	0.000507
440.012837	0.000503
445.003394	0.000496
450.010112	0.000488
455.016894	0.000481
460.007599	0.000476
465.013297	0.000460
470.003694	0.000465
475.010677	0.000459
480.017365	0.000455
485.008058	0.000450
490.014754	0.000449
495.005460	0.000441
500.012014	0.000443
505.017821	0.000438
510.008397	0.000435
515.015166	0.000428
520.005899	0.000425
525.012593	0.000412
530.019266	0.000418
535.009792	0.000413
540.016677	0.000410
545.007226	0.000400
550.013925	0.000402
555.003624	0.000395
560.010326	0.000394
565.017133	0.000391
570.007662	0.000386
575.014487	0.000381
580.004015	0.000379
585.010791	0.000369
590.017591	0.000372
595.008181	0.000369
600.013961	0.000366
605.004416	0.000359
610.011225	0.000360
615.017989	0.000355
620.008616	0.000354
625.014213	0.000351
630.004971	0.000348
635.011816	0.000343
640.018423	0.000343
645.008961	0.000332
650.014893	0.000337
655.005421	0.000333
660.012106	0.000332
665.018946	0.000329
670.009417	0.000327
675.015350	0.000322
680.006014	0.000322
685.012725	0.000319
690.019401	0.000316
695.010084	0.000314
700.015802	0.000312
705.006398	0.000303
710.013179	0.000308
715.003683	0.000305
720.009548	0.000304
725.016256	0.000300
730.006847	0.000297
735.013643	0.000292
740.004303	0.000293
745.010027	0.000291
750.016725	0.000288
755.007339	0.000286
760.013948	0.000285
765.003771	0.000277
770.010406	0.000280
775.017167	0.000278
780.007582	0.000276
785.013577	0.000274
790.004247	0.000272
795.010917	0.000270
800.017627	0.000270
805.008242	0.000268
810.014928	0.000267
815.004699	0.000266
820.011373	0.000262
825.018092	0.000257
830.008763	0.000261
835.015479	0.000259
840.005030	0.000257
845.011834	0.000256
850.018434	0.000251
855.009180	0.000252
860.015888	0.000251
865.005621	0.000249
870.012295	0.000249
875.018872	0.000247
880.009530	0.000243
885.016336	0.000239
890.007077	0.000242
895.012766	0.000242
900.019227	0.000239
